Título;Vencimento;Taxa de Rendimento (% a.a.);Preço Unitário;Data Hora Registro
Tesouro IPCA+ 2019;2019-05-15 00:00:00;1,64;3162,12;2019-02-22 16:26:54
Tesouro IPCA+ 2024;2024-08-15 00:00:00;4,26;2527,43;2019-02-22 16:26:54
Tesouro IPCA+ 2035;2035-05-15 00:00:00;4,6;1533,84;2019-02-22 16:26:54
Tesouro IPCA+ 2045;2045-05-15 00:00:00;4,6;979,5;2019-02-22 16:26:54
Tesouro IPCA+ com Juros Semestrais 2020;2020-08-15 00:00:00;2,74;3323,28;2019-02-22 16:26:54
Tesouro IPCA+ com Juros Semestrais 2024;2024-08-15 00:00:00;4,18;3453,81;2019-02-22 16:26:54
Tesouro IPCA+ com Juros Semestrais 2026;2026-08-15 00:00:00;4,22;3530,58;2019-02-22 16:26:54
Tesouro IPCA+ com Juros Semestrais 2035;2035-05-15 00:00:00;4,49;3767,19;2019-02-22 16:26:54
Tesouro IPCA+ com Juros Semestrais 2045;2045-05-15 00:00:00;4,6;3892,35;2019-02-22 16:26:54
Tesouro IPCA+ com Juros Semestrais 2050;2050-08-15 00:00:00;4,58;3919,55;2019-02-22 16:26:54
Tesouro Prefixado 2020;2020-01-01 00:00:00;6,5;947,68;2019-02-22 16:26:54
Tesouro Prefixado 2021;2021-01-01 00:00:00;7,14;880,26;2019-02-22 16:26:54
Tesouro Prefixado 2022;2022-01-01 00:00:00;7,79;807,8;2019-02-22 16:26:54
Tesouro Prefixado 2023;2023-01-01 00:00:00;8,25;737,48;2019-02-22 16:26:54
Tesouro Prefixado 2025;2025-01-01 00:00:00;8,77;612,18;2019-02-22 16:26:54
Tesouro Prefixado com Juros Semestrais 2021;2021-01-01 00:00:00;7,12;1061,77;2019-02-22 16:26:54
Tesouro Prefixado com Juros Semestrais 2023;2023-01-01 00:00:00;8,18;1071,89;2019-02-22 16:26:54
Tesouro Prefixado com Juros Semestrais 2025;2025-01-01 00:00:00;8,64;1074,54;2019-02-22 16:26:54
Tesouro Prefixado com Juros Semestrais 2027;2027-01-01 00:00:00;8,89;1075,19;2019-02-22 16:26:54
Tesouro Prefixado com Juros Semestrais 2029;2029-01-01 00:00:00;8,99;1079,16;2019-02-22 16:26:54
Tesouro Selic 2021;2021-01-03 00:00:00;0,03;9969,81;2019-02-22 16:26:54
Tesouro Selic 2023;2023-01-03 00:00:00;0,05;9955,87;2019-02-22 16:26:54
Tesouro Selic 2025;2025-01-03 00:00:00;0,06;9939,94;2019-02-22 16:26:54
Tesouro IGPM+ com Juros Semestrais 2021;2021-01-04 00:00:00;3,06;4189,14;2019-02-22 16:26:54
Tesouro IGPM+ com Juros Semestrais 2031;2031-01-01 00:00:00;4,31;6588,15;2019-02-22 16:26:54
